"Accession"	"F1"	"F2"	"F3"	"F4"	"F5"	"F6"	"F7"	"F8"	"F9"	"F10"	"F11"	"F12"	"F13"	"F14"	"F15"	"F16"	"F17"	"F18"	"F19"	"F20"	"F21"	"F22"	"F23"	"F24"	"F25"	"F26"	"F27"	"F28"	"F29"	"F30"	"F31"	"F32"	"F33"	"F34"	"F35"	"F36"	"F37"	"F38"	"F39"	"F40"	"F41"	"F42"	"F43"	"F44"	"F45"	"F46"	"F47"	"F48"	"F49"	"F50"	"F51"	"F52"	"F53"	"F54"	"F55"	"F56"	"F57"	"F58"	"F59"	"F60"	"F61"	"F62"	"F63"	"F64"	"F65"	"F66"	"F67"	"F68"	"F69"	"F70"	"F71"	"F72"	"F73"	"F74"	"F75"	"F76"	"F77"	"F78"	"F79"	"F80"	"F81"	"F82"	"F83"	"F84"	"F85"	"F86"	"F87"	"F88"	"F89"	"F90"	"F91"	"F92"	"F93"	"F94"	"F95"	"F96"	"F97"	"F98"	"F99"	"F100"	"F101"	"F102"	"F103"	"F104"	"F105"	"F106"	"F107"	"F108"	"F109"	"F110"	"F111"	"F112"	"F113"	"F114"	"F115"	"F116"	"F117"	"F118"	"F119"	"F120"	"F121"	"F122"	"F123"	"F124"	"F125"	"F126"	"F127"	"F128"	"F129"	"F130"	"F131"	"F132"	"F133"	"F134"	"F135"	"F136"	"F137"	"F138"	"F139"	"F140"	"F141"	"F142"	"F143"	"F144"	"F145"	"F146"	"F147"	"F148"	"F149"	"F150"	"F151"	"F152"	"F153"	"F154"	"F155"	"F156"	"F157"	"F158"	"F159"	"F160"	"F161"	"F162"	"F163"	"F164"	"F165"	"F166"	"F167"	"F168"	"F169"	"F170"	"F171"	"F172"	"F173"	"F174"	"F175"	"F176"	"F177"	"F178"	"F179"	"F180"	"F181"	"F182"	"F183"	"F184"	"F185"	"F186"	"F187"	"F188"	"F189"	"F190"	"F191"	"F192"	"F193"	"F194"	"F195"	"F196"	"F197"	"F198"	"F199"	"F200"
"B2RE39"	3689557.2657897	10646512.0434103	10087251.875865	NA	5090345.86899549	NA	8611301.17750186	16105748.9849113	NA	16319408.8570432	NA	NA	NA	NA	NA	NA	15951273.2278226	NA	15894056.0719217	800843.809340926	NA	NA	16085462.4554993	13053730.0444937	11590026.8190526	5258780.35127108	NA	12229199.2520624	2110279.58527043	6878093.96674801	14770954.7498113	NA	NA	NA	NA	NA	NA	802388.043430532	NA	10901883.3760359	12331473.4329921	NA	2890609.91384833	NA	NA	10247781.4053634	NA	6518366.60035407	NA	3690475.85861657	8224170.51537807	14583931.7522747	NA	5368188.33390621	19796477.3574422	NA	17142120.2891174	18462340.9500188	7313616.95437686	NA	NA	NA	NA	NA	NA	3337491.53164013	6417491.62907081	5599569.00146903	NA	19827155.8396676	NA	NA	NA	4077595.74276471	NA	2772770.67061333	18256480.2875405	3428186.21242116	3717574.96799178	NA	NA	2912501.81916407	NA	18762846.0382946	NA	NA	NA	19236361.394838	17114054.9829999	NA	NA	NA	8610421.40442128	NA	NA	NA	NA	16294123.4739752	6562116.61620275	7569653.93287503	8003084.85594967	NA	NA	13652114.8632077	1291265.35097134	NA	NA	15889730.3302062	9792714.27909195	NA	19257816.7183835	NA	NA	NA	NA	NA	14117206.2634306	NA	5046753.54468542	15486800.7165678	5231359.53478789	NA	NA	NA	NA	6682969.13874579	NA	14858256.371587	9683195.08107192	NA	NA	16136567.2905523	NA	NA	16929985.4743678	NA	NA	13135012.873506	NA	9820022.97607749	NA	NA	NA	NA	10111464.9241127	16778490.981479	5827939.89672958	3338124.99585738	NA	NA	NA	NA	NA	NA	NA	12558300.7318005	820648.870163952	4854039.97110516	NA	NA	NA	NA	13506128.6439232	13609161.6133724	7857179.27400527	NA	17801905.1937016	NA	10686653.6405972	NA	5739983.27857779	NA	15762456.5657649	4888349.065581	NA	NA	12697932.2043	NA	NA	9467311.86721484	14148542.9302191	6705056.16110941	20177477.3499878	NA	NA	NA	NA	7411735.20499888	4194138.05053896	NA	NA	17980442.698149	NA	8050188.34494081	NA	13014278.342435	NA	18494395.2491629	14702844.9291821	6288997.51227698
"B0AZN7"	NA	7893903.32500685	13963553.482108	NA	4785575.3813923	18621712.3348802	NA	10686539.3131611	NA	NA	NA	2063424.27998694	NA	NA	1898879.83797698	7101633.22638438	NA	387507.010968623	NA	19585513.6494514	9539693.66816063	NA	11301939.681295	NA	16502198.122991	NA	11948212.9777554	NA	2533522.18075635	NA	9023139.61361027	NA	10232233.4736154	559292.615693535	619213.606418415	6102935.24873826	6957679.3859373	NA	NA	9382735.5743541	NA	NA	NA	1989516.43189323	5337232.21769006	12674292.7584887	NA	2764329.85972776	NA	16076160.5485991	NA	NA	11473610.1353653	NA	NA	19444908.9804735	NA	NA	18225951.6215559	4219252.7704297	NA	18683273.4812987	NA	17938882.3434463	NA	NA	5713787.20653169	16577117.5828378	NA	1825649.64142142	8957358.88734668	NA	2633830.69685242	19523115.8466134	NA	NA	NA	NA	14722742.4236373	13053066.1592618	NA	NA	10960350.9389005	9456347.21131931	NA	NA	NA	5089564.46814031	4681700.34036408	NA	7372389.92176899	NA	NA	19280692.3174024	16978776.5421455	NA	NA	NA	16010162.9256874	19356948.1796106	NA	NA	NA	NA	4695415.98770113	NA	5152345.24837965	9146218.53282784	3169399.70333733	NA	NA	NA	NA	1390534.42291714	17691778.5223266	14955284.8855976	7615574.3284758	NA	9689377.72761611	10961551.2960858	NA	8047230.2022349	13986583.765301	NA	NA	NA	NA	NA	NA	NA	NA	NA	19442020.3973473	20263913.9880641	NA	NA	NA	1124414.93608961	12587268.7944963	NA	578490.802731062	1546284.17003671	NA	NA	9622394.45050412	11723418.8810029	15395799.8746595	NA	NA	2281508.74666719	12383400.2492871	NA	NA	1266921.6298807	NA	NA	19045650.0265219	NA	9662992.83400196	NA	1725051.41429166	18915038.6156697	15874981.0488329	NA	NA	NA	15764383.5012635	NA	NA	14943919.9742303	NA	6032650.3184197	18592856.7295348	NA	NA	9347511.32743833	13279199.2945781	11829801.2122608	NA	NA	1857045.27063654	NA	18859445.9505195	18989434.9320884	NA	8293978.02182262	NA	17067979.317931	NA	NA	2799759.1403807	15025516.5493998	20388364.6604515	NA	10412052.5150559	NA	NA	NA	5010103.81651018	1068062.85429945
"Q13630"	NA	707489.980698052	NA	3032978.68286055	NA	9161587.32177265	15138472.5845161	8901677.13378141	NA	17781909.512602	13723677.4380761	11506174.0828651	622625.109323799	11590973.9152234	NA	NA	NA	NA	3107229.77497958	13979932.9929687	NA	NA	NA	NA	NA	2187006.97082738	1505266.77310683	9359829.36873945	15453057.4444002	NA	16580767.0958032	17833616.1679261	NA	10943542.2695111	17280838.850425	NA	NA	NA	NA	NA	8663303.21597748	15755320.0517212	15487206.7536027	14079502.4302031	8125620.79836054	NA	NA	NA	235675.322092871	NA	13005068.3266994	NA	NA	12122439.6060041	2942.27316544521	2471900.36361401	NA	NA	NA	1275035.36608366	NA	11579583.7124916	NA	13589093.1559551	1247845.98342986	NA	NA	NA	14604507.0648152	1337940.19535044	6395770.2917626	NA	4096095.50270484	NA	16535565.7315535	409045.079864433	NA	NA	4268619.4487257	3530513.68841807	1637324.5692569	12939459.3818578	NA	NA	NA	13555798.9613477	19692540.727302	8600476.10233908	8141750.13170698	16041132.6131118	NA	NA	NA	11113173.316457	17969336.0394503	NA	18936205.3035998	NA	4518775.57827326	NA	NA	15507271.9229046	15527274.2849216	NA	NA	4350803.8209018	NA	NA	NA	649504.443165573	2937639.57013742	NA	2935508.20047114	NA	16390875.8196093	NA	NA	NA	8056546.79858799	NA	NA	14121103.1701946	NA	5428077.00022112	13907899.2135703	14935114.2444059	NA	NA	NA	19635920.3286408	20256423.7089778	13059454.0489166	5953752.02967696	14559127.2477431	4879503.94499175	7469861.59378043	NA	2622976.81380241	14830833.3614408	11334270.0964722	18816615.9407686	NA	16569968.9727173	NA	NA	NA	1084571.06323044	NA	NA	13324377.3803038	5358621.41252579	NA	NA	NA	NA	17874776.0197156	538695.751960253	7857172.63591431	NA	6795786.41158932	NA	17826676.7171519	7488352.8312683	2410796.51266468	NA	NA	12555902.6012888	14319398.75967	NA	NA	7231870.42972888	8688836.04042902	NA	NA	NA	NA	6433347.30176407	14045790.473646	NA	NA	NA	NA	7410617.77398641	NA	10415373.8398524	NA	3488611.16986693	NA	18818071.4671222	3045600.16343366	19031090.604067	9169004.72937149	NA	12109696.7078475	7155554.35361166	18095560.5905651	10874519.9659537	NA	NA	184069.884570142
"D3DUP2"	17616763.9498187	686131.340114704	NA	15249166.4391271	NA	5188246.19989444	NA	13365363.4521062	NA	4121858.2668205	9743270.89872555	14269681.9946427	12339383.919891	NA	NA	17699012.4188301	NA	NA	13203519.4473598	4778755.31632721	2514170.74184965	NA	11620362.8566786	8105773.42030244	NA	9744425.89324343	3121505.07762427	6385480.27052376	1393231.491171	2590284.02071912	NA	NA	7796212.03449208	5474316.27162943	NA	13459399.6384321	3903061.12137085	NA	11134279.5240027	NA	NA	5281936.62971319	NA	NA	NA	6414596.26985747	10382611.7013214	7593146.74111569	3650705.6376369	NA	4288455.64909514	NA	532518.544368005	NA	NA	8081064.33773358	9324779.19207848	NA	8029169.05593949	18744136.5908159	9082017.89586201	NA	NA	NA	15836235.4302789	NA	5253502.12677605	NA	NA	11153744.7050516	NA	NA	NA	NA	NA	NA	NA	5882875.3575652	2737106.96304196	NA	NA	13345545.5528822	NA	9081643.34574319	NA	NA	17913857.1402346	5108962.66871002	NA	5302966.31125262	12140975.782654	3177413.24957242	19598435.8331658	7551871.15813606	NA	NA	NA	8649662.85268137	16076792.6328548	NA	11103865.7374389	13558733.0070697	NA	9081636.598207	NA	8983404.0724922	2033475.925907	NA	9682736.88149	NA	13604603.790673	18257918.188454	15131720.1137751	2221306.18668183	NA	4638587.57648922	6923798.54587748	NA	NA	13273074.8205515	NA	17012663.9346434	NA	NA	13189557.2913029	NA	18082854.427937	9680678.37379419	11099764.6106392	NA	NA	NA	6278179.71284257	7743311.02243622	15736319.6322094	NA	NA	7608983.62253927	13791947.8338878	NA	NA	20116896.5472968	NA	NA	NA	7511290.96157991	10121690.6391427	383499.673970234	18301328.933615	15075826.778793	19601135.6137579	9280769.56739211	NA	NA	NA	NA	4975073.97762754	5722278.92372344	NA	8856564.60574688	912100.626408759	NA	16442479.1871897	8385755.65361102	13957754.9121759	14834745.029035	NA	9554232.48160329	6289264.85365791	NA	NA	NA	NA	NA	3163292.38366046	7704564.2380527	16740791.6497813	13385527.455207	5874267.94249271	14369345.3691916	NA	NA	1235912.07584269	NA	3366709.43399746	3030544.04998633	8305690.62164317	NA	NA	NA	9989219.05913908	NA	3118585.23598943	16171268.4654173	5712803.80785479	20220518.1655219	1718925.29382813	1001956.20014889	19508482.7960715	NA
"Q6YL37"	NA	16536397.3249416	15616572.5492887	NA	2428935.26514324	NA	19497612.2440376	NA	NA	NA	17641824.1992957	NA	NA	7043307.70439096	NA	9942244.57276154	11011578.2669552	NA	55884.7792379246	2683873.20418562	NA	6621477.8278993	14644602.3000521	NA	NA	NA	18991575.7949385	NA	4663722.36292446	17858902.8595784	18481121.2799369	1577201.20954821	11864461.74012	NA	8918432.37486594	12751148.3757842	NA	NA	12902343.5454933	8041368.20641432	NA	NA	NA	NA	NA	11475694.17235	6749225.38548815	6612520.7020161	NA	19049380.9477024	15570509.9938547	18273161.6055117	NA	3375739.26006253	17021483.5782872	16353924.0083312	NA	NA	14305498.0071442	NA	146149.359309531	NA	NA	NA	5408624.19124147	NA	NA	NA	NA	15670512.1917934	NA	NA	NA	18253744.1996838	NA	NA	NA	5486760.08928918	NA	302135.108407117	12495177.840056	NA	NA	7947086.4249984	3280294.46607621	NA	8744122.38742192	NA	17955012.2811208	9454203.38868956	NA	6080921.16923941	9026711.90107157	4334764.20409083	16430554.9012655	1271342.53660069	NA	19087208.6253424	3250119.66506245	15076887.7598606	18194763.5290427	NA	NA	15921872.1712566	NA	NA	19563997.1460239	8283883.52210314	NA	NA	18552490.7077715	13450041.0531796	NA	NA	NA	16406054.5926055	2625607.3250826	4630697.55584787	152642.716095606	NA	11168592.1492768	NA	15521750.5034044	2590854.42545148	7039241.76661107	19139124.1354696	NA	16367055.13726	NA	NA	8681548.39680188	1498884.18916626	10737698.2474658	NA	13956613.2985267	6936069.73034585	7907535.08019791	NA	NA	NA	NA	NA	NA	NA	NA	20063535.4798487	NA	10541204.2263603	NA	NA	13786357.5905666	11255007.1314735	NA	NA	NA	12847259.5722427	NA	NA	NA	NA	17447611.7305009	9568488.64560866	12333368.8815747	NA	12923627.4302279	NA	3357291.7578392	NA	NA	15943032.4923296	8006755.38239871	14627779.3456813	NA	12429904.2306324	NA	NA	NA	680406.51247337	NA	14515955.0741438	NA	15688780.1134326	NA	9793239.63045856	19591091.7776617	16414838.9282672	NA	3985177.94204926	NA	NA	17967329.5610638	11404284.792249	5377036.09545638	5198335.35107325	1118938.69662743	14946295.578059	NA	NA	NA	11759746.1835384
"A0A068LKQ8"	16326890.8896696	NA	2363101.82434798	19184319.8942202	12482191.1978612	NA	NA	NA	NA	NA	14084428.6217452	11192288.5113648	10432734.7841344	NA	15520626.2963048	NA	NA	5391636.70262608	9982943.78862316	6362012.1064932	4395428.48969782	NA	13778624.4525209	6148228.22340173	NA	NA	NA	166071.041160001	4158910.42509661	17591863.775883	11921947.1129637	NA	2870549.14614789	3813420.74549857	8399507.41787308	393224.129859162	NA	18430155.3689453	252726.350800452	11065265.2242225	9431638.84252367	NA	NA	13502648.3570717	8007506.79526159	NA	6671875.13762553	13255218.7650951	19638326.5105144	6491384.30710432	NA	4172771.56320866	2266453.11858566	NA	NA	NA	NA	133593.070023996	NA	NA	7971754.84152758	NA	NA	4143009.65145271	NA	13938874.3922899	NA	14376506.5988227	NA	18604004.0399977	NA	6239175.47997497	8847162.09013185	NA	NA	17141732.2582017	13865345.8813541	3395966.05617282	5757298.06552472	3721634.61029185	8221739.86059995	5103726.56635204	13790168.5637932	11031145.6317785	NA	18420757.7355391	NA	15333257.980042	18221377.6675817	5390658.03864488	NA	7888764.67648607	19617991.9489231	12647251.1173748	17470266.9496583	15136614.8041257	NA	NA	3113706.79587586	2421421.3268539	13381662.649204	3807811.05423638	NA	10406960.0666965	NA	13717075.5877603	NA	NA	14277832.2998271	1008996.01695498	NA	6412963.05203957	NA	NA	NA	NA	214552.112468957	19318376.2744249	16026825.4571474	NA	20424509.7937854	2789057.87632095	NA	NA	1740128.76487158	5413344.24983565	NA	10889113.9255155	8407795.50508166	2288573.9262151	16330627.1022889	NA	NA	17911403.0213514	NA	14713689.3523576	NA	418952.071358581	1308856.24919286	NA	NA	17235392.542998	12498172.3185774	14422125.2919997	NA	14656269.5324467	13408995.1624227	6997694.95932419	8595111.60169551	NA	2570728.42839556	NA	NA	NA	8435836.87600377	NA	19203701.8207605	NA	20121010.8455917	12223295.448165	NA	2328110.76714372	13221163.431275	NA	NA	547050.296214258	NA	968840.791458031	NA	7147846.52596439	NA	2945598.44610222	NA	NA	4296993.75202932	3801456.06952705	NA	NA	NA	NA	8844674.84265422	NA	16952479.4093282	6427165.7687061	16530493.6542819	18782679.3455032	11394223.3592636	17187098.0662847	1285507.8943768	9670841.78889062	16088605.2465792	NA	16899404.8171418	NA	NA	20368039.3350857	13091586.8012547	NA	18794727.8279679	6246581.03417985
"A0A024RC67"	6675797.25485974	NA	3623913.64108653	7247229.07357697	11521255.3449223	NA	NA	8780485.26441485	11999488.2380612	NA	NA	NA	12622222.6783911	NA	NA	10768199.6330378	NA	7649857.21795743	4857926.77559885	11711320.5010315	NA	NA	16217362.9407898	1712280.63615302	NA	11412013.6191045	NA	5796283.73077158	NA	NA	NA	NA	NA	NA	3461718.15537174	NA	7189904.18074602	NA	19992717.0040469	NA	2468490.22639472	NA	NA	609054.457879005	NA	14001712.0269456	17449045.981654	NA	NA	NA	NA	NA	NA	NA	6690814.45339102	6722514.18330798	13070330.9487738	NA	NA	NA	NA	19433738.0964603	15272219.8723649	3520496.67116104	NA	NA	18200899.3330296	1922986.90517674	NA	15050636.7796198	NA	NA	NA	8205676.93671405	NA	NA	5706698.32019585	19963712.5769847	3715917.07265436	3583156.20988095	14773071.0303117	3941922.31408483	16767190.56666	NA	3221916.52933587	11591611.2909179	NA	NA	NA	NA	NA	NA	NA	NA	NA	12548943.6264378	10432902.9253129	12191045.651294	NA	NA	3000490.86641257	NA	11013962.8786021	NA	NA	12166592.4516666	NA	4513159.15850883	NA	14438841.2422476	4516080.45624104	NA	NA	4640724.16621699	19716410.2698075	NA	NA	10303715.7965812	NA	NA	NA	17483383.5985078	NA	8991329.70565881	NA	9184232.89071617	6822318.47096631	11092857.2653845	14238402.7485307	NA	17283300.6970929	8918014.61767476	4893494.94700376	2671518.50349184	NA	5521249.34012617	NA	14518848.2872789	NA	NA	533141.692182958	10342832.5391425	7674920.78410061	NA	NA	NA	NA	NA	NA	9045989.39307251	15531391.4954112	NA	14574743.9444033	NA	19474736.3119245	6590120.57113258	8898171.87438412	NA	6448742.66686517	NA	4212673.64189482	NA	NA	20156292.7939347	NA	NA	NA	13812103.8712793	14083089.2215363	NA	19191617.5306725	NA	NA	NA	16000476.6661828	NA	11090434.0433649	7044262.3094561	13168606.7576967	NA	11477196.3223705	264942.712726902	NA	3484568.08234711	NA	18412475.4679616	NA	13946214.9169958	NA	NA	13306880.0196837	10033548.4494703	NA	NA	NA	8976347.21554006	19955023.8250744	NA	4466574.50651402	15592702.088395
"B3KWP3"	4003247.5489366	5460355.90952258	NA	7137494.83471919	1380742.08719483	16781974.7610608	16761602.6121716	NA	15706632.7332606	NA	13200717.58768	8526451.50949723	9765702.0026084	NA	NA	8489394.25488032	NA	194331.792661031	15875876.4012036	12790572.0979327	6061833.21733824	4880676.19378764	4168332.37437722	19881959.6902381	17048031.5928749	8596955.72046646	2880215.81495679	8667570.29980972	12208824.3051822	4124902.49533543	NA	NA	5556239.82155336	NA	7112384.04058118	NA	9226486.4524547	15187444.4462923	2156765.30353822	NA	3203829.86802703	2909435.22099637	12807373.7200011	NA	18924424.367131	15128811.3784516	NA	15173370.1041189	NA	11373000.9684713	10046896.1086436	12958357.6937309	NA	5997510.67742313	NA	NA	NA	5621222.74445315	19418899.0271742	NA	3835975.71282782	NA	NA	NA	NA	18287918.2387491	NA	NA	NA	NA	6481294.97510296	NA	13963552.1544898	13568816.0531082	17120385.1902615	NA	10245804.006098	3865054.92428969	NA	7455067.00684152	NA	NA	6368165.86425587	NA	NA	17824597.5861685	NA	NA	14244718.2377884	9965187.96596104	12920898.660926	NA	NA	NA	2266605.10945548	NA	398327.97003916	10848651.3635448	4943241.96649866	NA	20176636.7392647	NA	7664838.26625428	13496767.6366003	NA	NA	10964249.0210111	4738133.99215802	2262802.35413788	7457926.5060882	11089576.0260921	10018784.1978933	18402167.8212826	NA	2092561.0929478	2822711.42719454	7113148.50597704	1845021.77975156	NA	NA	NA	7422584.63886247	NA	8170023.15059045	876518.569735452	NA	NA	NA	17066619.3800872	NA	9489195.56889702	NA	NA	NA	NA	6335219.78160715	15027687.5572724	16835699.5292748	13188906.7203207	17021691.1578155	9371544.36207954	9778055.48988771	NA	NA	12000502.2433339	NA	16962258.1214989	17113202.9185958	NA	NA	NA	18837864.7649626	11217138.6783486	12364002.9337962	14771144.2803941	NA	14640995.1519067	NA	NA	19547133.5160964	8358909.61966928	NA	6990571.69766999	4195930.09717415	16719299.1814774	14214026.4793811	15427066.6535327	NA	8429402.86232334	NA	8468590.47304856	4017485.14056274	15630450.0137736	NA	2787232.94853268	7007173.75350417	NA	1814792.85569365	2552591.2795275	396277.056890424	14272271.330725	18401810.7824002	NA	17285557.9858724	NA	NA	15124154.2270707	17756034.9906338	1939016.02000437	11308532.7284077	NA	1680706.61121737	2114337.55258267	14203118.0117136	NA	4377961.08851912	281168.134224449	NA	NA	NA
"B3KUL7"	NA	3704814.6014252	19010345.532462	11767095.2164211	NA	NA	7978238.87643538	3093455.64582324	NA	NA	NA	2059354.2689412	5709850.38081063	179401.607843956	NA	12497035.0779788	19988800.5303797	NA	NA	NA	12079466.0516999	NA	NA	NA	5375150.49694427	8709941.91012214	NA	NA	NA	NA	NA	NA	NA	1724927.58415468	767312.589680545	1061148.43317294	12128338.3611456	NA	NA	NA	5225998.22708986	NA	NA	NA	13153980.0216686	NA	NA	NA	NA	NA	NA	7791516.83899846	4813363.90052988	NA	NA	1132494.43497038	7844288.25838819	NA	NA	NA	NA	16892467.5838231	NA	18246216.3999185	7382370.86016891	20291538.5011493	3949930.15489263	NA	8055751.07468351	NA	19751606.5415715	20118142.2005308	5728125.28791047	3052553.32817064	19717891.8679177	18736874.1576589	NA	3330249.62184254	NA	NA	NA	NA	NA	NA	12007841.5260744	8180167.82380892	NA	NA	16769586.360754	15134564.3811013	3550855.00706253	NA	NA	5982410.59078686	NA	19197193.0655068	1686080.72400699	9029427.22288596	7437496.64149635	8148353.74266337	9346268.47695384	NA	9275407.99797723	NA	4143872.39390423	NA	NA	NA	NA	NA	7980983.34874814	16867888.0844034	9150453.81568381	NA	19306730.8121136	12508648.0445745	1183875.1100641	NA	NA	15683441.2229723	3880601.65689866	10630961.6086976	10807694.6468557	NA	12067826.4566044	8410083.20060046	4382488.5235132	NA	NA	15451964.8717298	NA	NA	NA	18517097.762934	NA	NA	NA	12078977.8260578	NA	NA	1055857.41786178	533791.140161886	16283899.005669	18770880.6551151	13990487.1721599	NA	NA	2130217.85521057	10796807.3163925	NA	NA	16732225.6478311	7364100.19764049	NA	19107384.9672029	3382456.60364405	NA	6054841.49457182	10103213.9340777	NA	2033207.68517181	NA	5085574.88981968	12436701.040966	4307095.93194867	10427668.9214482	2543448.91045932	2880674.49990449	NA	NA	NA	10649763.299469	11575336.9664377	NA	NA	8214527.4343949	13689456.3090121	18369321.7477792	15925748.278669	NA	NA	10726413.3024917	NA	6380692.38919806	NA	NA	NA	15143947.4725677	NA	NA	NA	18535237.4242838	NA	19086723.6735401	NA	5662383.74779674	16141005.8274709	NA	1842272.39192054	4920377.7830928
"V9HWD3"	NA	3260946.22963202	NA	NA	6998102.9473392	2563643.99600462	4288920.82937917	NA	12911578.1530957	15479812.6768712	NA	NA	NA	558514.836047841	NA	13217554.9793038	17362421.4974997	2891093.60465123	NA	8763767.3203604	NA	NA	NA	14816204.1938252	NA	NA	NA	13877139.413541	9543620.0156908	8521901.71912584	NA	6509282.05643383	5882219.32859717	NA	NA	NA	NA	17192673.5249831	NA	NA	NA	8893450.33114165	NA	NA	10811813.589435	9175583.35350662	NA	15958912.0526333	NA	75725.3098315796	6226661.17483034	2968492.59370792	3529467.3397015	2131541.05276738	NA	2867173.52224311	18751740.0219917	NA	NA	NA	NA	16164849.7360008	7863587.31109892	9075085.05938638	NA	NA	10998174.7383726	1252023.02714944	NA	13948625.9905952	NA	5961065.26445334	13762893.5997302	9621595.8096464	NA	NA	13364571.0876944	NA	2503093.4715737	NA	NA	NA	NA	2131157.63758514	12394715.0347403	NA	NA	11002804.4142429	NA	NA	NA	NA	6135210.24656247	3168234.91585085	NA	NA	13141904.9582892	5781685.64084211	NA	14882403.8193172	NA	12659466.0279624	NA	10154836.7353236	10844384.5271539	6463519.84725444	2969536.12064101	NA	6351622.13321088	NA	3086497.24199081	NA	NA	17488032.4225344	NA	12219738.1404244	NA	NA	3711394.49607667	NA	NA	NA	10871342.2903973	NA	17985799.209291	11782422.8063756	9403069.94084739	NA	NA	NA	NA	NA	17015742.3005523	NA	NA	NA	NA	1704586.40350637	10196307.8398226	16253295.859828	NA	6690287.54599879	NA	NA	NA	17039281.6848749	NA	2001191.815578	NA	NA	NA	17997733.4214214	5196375.13946703	15452392.1221048	NA	NA	8028049.48836584	NA	2716293.28831335	NA	15994340.5386187	13146194.8210041	19023819.1059902	NA	NA	NA	NA	NA	19995459.8870247	1126518.03557783	10474689.0607611	NA	17513351.0246082	NA	11904775.6754721	NA	NA	20072690.9728272	NA	NA	9266865.32213595	NA	NA	4451812.96727528	15597586.7335771	NA	NA	11856193.5576674	NA	2432520.62892996	17118977.9720795	6155398.73208471	15717221.8492718	6905414.16499939	9507160.95537701	NA	NA	18809044.8768291	15604245.338381	NA
"A0A0B4J1R6"	NA	16172639.4048856	NA	10099102.7050076	5738051.57983253	2871249.78594227	11202740.735189	7344054.80937373	1282591.56450622	1341214.80131039	3328509.14294337	NA	NA	17524088.7339286	2432474.92365133	NA	NA	NA	16875489.1030257	20319984.3054958	NA	18947497.200725	2715449.75111999	NA	2750095.82745075	2050442.79599326	9783859.27512282	NA	NA	NA	NA	NA	11599276.9869112	NA	NA	10978796.5234531	NA	13454898.3989152	NA	14683748.321591	NA	NA	NA	NA	8028439.24185429	327772.38643192	NA	2305052.35176879	19115823.0324408	NA	NA	15882198.6189636	11646832.0611857	NA	5455284.42230348	NA	NA	14879618.7380666	NA	4597959.64278	NA	8089547.78943142	4943308.42354408	11355856.2118228	10534919.0819815	536890.048464087	5141137.47656634	NA	15560899.9272622	13613515.3064474	NA	NA	NA	16739801.3370211	5066412.02503965	NA	128486.96956213	2902362.58489754	5406459.68346375	15878824.4606732	NA	NA	NA	NA	13023243.3198236	NA	1430717.73301111	NA	9333816.19870216	NA	18344476.5201061	NA	NA	NA	NA	NA	NA	11500160.7623631	NA	NA	NA	20027210.418561	13249695.7401775	7652234.28740056	NA	NA	16501215.0812007	18240481.0369844	NA	18745221.1026073	17524056.2524886	16510297.6360729	15263960.3598776	19041323.5948255	NA	NA	NA	9915922.59587763	11626311.423674	NA	NA	NA	NA	NA	NA	NA	NA	11662798.8350602	9073063.5870038	NA	NA	NA	2881397.2857027	17277622.9023484	NA	9704008.44174031	NA	18293.3890852874	NA	8408769.16789182	NA	NA	722028.665661532	10562178.1289017	18610152.9060346	NA	8475553.24517311	NA	10181310.1796437	NA	12343496.6811942	9435745.88888264	3495021.54813674	14960463.3198377	NA	NA	NA	NA	1721029.34501398	NA	2459168.54797629	NA	NA	7517083.87366962	18131731.614833	10624070.0330727	3473245.55483371	17484439.8686721	13223473.7391295	6299433.54772454	NA	NA	7383039.25168914	14429075.7824663	5488713.91976279	5160137.56774241	18518456.0686164	NA	NA	NA	NA	NA	4010020.88088962	NA	13821652.2821409	NA	5534970.68337352	NA	NA	18701235.7033841	NA	NA	9334399.73210331	2204539.55377669	NA	NA	18688176.0088793	NA	177752.606120875	13665518.3822734
