"Accession","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100"
"Q13138",6294.10188802083,6491.11051432292,4577.52604166667,5185.4033203125,4639.97493489583,4494.35123697917,388.611890157064,245.342549641927,NA,284.458002726237,540.163696289063,257.425140380859,491.803100585938,NA,89.222928400119,NA,NA,NA,NA,NA,NA,227.020149230957,195.433921996867,344.150885815225,56.6195481138167,4307.109375,7253.8017578125,5495.4228515625,3907.95263671875,NA,215.702029891183,345.448913574219,NA,760.713195800781,1046.18469238281,1091.59631347656,511.569175214874,303.533795720762,NA,296.002794221626,NA,92.6829812551858,NA,254.417815578575,77.2941287690117,387.947357177734,1519.72290039063,503.508580539159,NA,393.025115966797,399.994195456345,51.1685155049234,NA,464.555438931446,NA,236.438159983025,NA,NA,738.004699707031,213.41610458922,500.708145133298,NA,NA,NA,NA,250.956639129719,NA,NA,NA,NA,1746813.71826172,1547699.10766602,1522961.79443359,56085.0537109375,75772.00390625,58622.591796875,1824349.26327515,1756275.0894165,1625194.15863037,233400.749725342,253821.002319336,243847.535369873,119545.053070068,100135.640625,86684.7491760254,530.852767944336,314.621917724609,52857.6193847656,69583.2466125488,76761.997833252,63054.6564331055,7617.05395507813,5407.2074432373,525.383483886719,641206.235336304,753110.50100708,682601.874572754,963278.468612671,63997.9694976807,8223.66063690186
"P01037",102205.0625,128719.964609782,51881.5245768229,4452.04673258464,3859.04235839844,4726.79597981771,212.114379882813,52.0764363606771,264.06586710612,111.835083007813,NA,NA,NA,NA,NA,226.531014434037,NA,115.841668994054,NA,NA,7.02591293006349,NA,NA,NA,NA,NA,NA,493.324219810121,25.6035861918748,NA,NA,NA,NA,471.065917249538,NA,NA,2235.69458007813,NA,4600.2412109375,NA,446.394867308255,NA,2145.0390625,1750.22277832031,2454.13940429688,NA,347.56876360195,116.129268097749,338.666890905119,179.598937988281,727.214202880859,141832.247151693,142347.197184245,157510.266479492,3909.47174072266,4220.27611287435,4177.88624064128,27155.5651041667,28690.9729817708,24336.9956054688,7278.669921875,5590.45768229167,5826.85546875,1768.28959147135,2118.71794637044,1859.82515970866,18266.1384277344,25842.2369689941,56197.1732355754,562.914733886719,337921.34749349,370960.574951172,341074.850830078,NA,5277.60387166341,140.891632080078,1685028.48323568,1344129.18082682,1234512.29905192,7769.23672485352,9152.11185709635,8091.16080729167,80.0925903320313,334.93532773472,452.224874281253,935.62592569987,887.663340250651,804.863840738932,130.762715657552,553.123352050781,NA,52588.1812693278,11479.8066304525,2781.30754597982,407.786895751953,315.193440755208,351.592122395833,3150.22673797607,227.921304537147,2480.42594401042
"Q9NZT1",13306.8880208333,14515.1513671875,108322.333984375,358.856222336641,NA,NA,NA,369.354156864532,403.185279031753,NA,267.667857424615,NA,NA,163.56933161555,NA,NA,432.682172527772,200.174270629883,422.920013427734,NA,NA,118.074151218225,NA,NA,207.534225681747,NA,333.778450202467,NA,134.534689372826,28.5621950172235,4025.89892578125,NA,3424.77368164063,NA,NA,486.517170460459,417.699804420852,NA,NA,NA,316.496429443359,380.029541015625,183.524005373577,241.634091659515,469.055443918026,33660.64453125,25467.638671875,7969.64892578125,77.3035175061286,NA,NA,NA,307.456826340704,101.344240045396,NA,NA,394.649659545388,NA,NA,NA,NA,NA,89.7926306315125,NA,25.2068265144458,391.725541079759,451.772968828808,NA,165.827348004785,395.673161750681,667054.449951172,795869.740600586,849244.804199219,211.44985721148,NA,425.431572306283,296834.914672852,246007.239868164,231895.004333496,305.514129638672,466.827606201172,330.914733886719,228.815948486328,344.218351788879,NA,92.3268979966048,555.150512695313,267.019658418627,NA,324.110193715347,NA,658.061752319336,536.093521118164,920.251449584961,1754.46356201172,1590.9150390625,2044.49461364746,139.409317016602,442.915289409067,189.5390625
"P02814",47.3777728045533,NA,312.199646190029,NA,478.996890422998,313.70043031758,NA,276.371551513672,NA,257.155056579372,243.989877651884,NA,NA,7.19762296796261,358.254016729891,336.210629559255,195.292840055806,198.931884281897,NA,23.4486158428739,NA,NA,NA,499.330406749175,261.859228505702,514.191329786024,NA,482.60729898273,NA,10.1304511008299,421.606815599614,NA,506.539669998725,199.379480648079,NA,NA,NA,NA,90.3297659495556,NA,NA,208.689382363064,NA,456.731493633555,NA,NA,NA,295.082077006178,NA,122.606189641052,NA,63902.5611572266,65342.6654866536,68004.7983805339,86.5321858723958,146.417297363281,138.272786458333,2183.08076985677,2252.99442545573,1171.86645507813,92.9101359049479,157.447148640951,69.1755218505859,624.732518513997,639.546030680339,715.420501708984,2670.34189860026,NA,NA,1087.01825968424,447787.136230469,653830.078857422,483569.039550781,71697.49609375,83547.4547424316,55999.5883789063,1102977.64550781,905543.90222168,1096258.52929688,101528.226974487,104920.966674805,111281.286468506,10008.421875,8844.3359375,8317.927734375,8366.83082580566,8393.37756347656,9786.11656951904,458.688507080078,252.26872253418,NA,14525.5905151367,2785.14753723145,3289.66669464111,2713.87213134766,3400.94485473633,2852.40676879883,18476.611114502,1963.88050842285,831.406494140625
"L8B4J3",NA,388.111762343783,216.811104341095,NA,NA,NA,469.922345662521,185.434110579524,178.263366699219,293.937806138149,NA,NA,NA,453.629535347408,318.887174884188,NA,145.600304292619,207.178808422371,449.872429056114,NA,267.028391080568,NA,NA,NA,NA,432.290813579861,458.499326498989,NA,147.808112716682,36.2392433768111,176.621042093289,NA,169.111668564349,NA,NA,NA,NA,NA,341.649607981914,NA,241.938079833984,224.264923095703,450.350931755037,NA,NA,6766.06787109375,3410.7490234375,4226.560546875,336.415955795097,396.841076256136,NA,168304.413492839,144502.883789063,208975.260172526,112.153676350911,83.6591491699219,427.214364073003,3584.42333984375,4226.59659830729,3714.08972167969,322.727002076965,500.606440531406,NA,NA,147.519809248935,166.47270711263,546.325963338216,358.477876212019,205.675852457682,NA,1634754.61067708,2665504.00109863,2547493.34328206,55927.5319213867,79926.0706787109,56489.0440775553,515569.301564534,470719.73445638,447223.878468831,192538.760040283,191664.902211507,210510.233103434,3935390.95155843,3447674.98373413,3189682.39048767,96994.3171386719,104892.733861287,106806.09336853,49252.9118041992,48240.6920979818,46252.5372212728,3614.55772654215,58237.564066569,69438.7849019368,269454.394388835,263120.0625,271815.312637329,19191.1750411987,103048.261454264,1506.94422658284
"A0A140VK00",44443.9099934896,32414.4274088542,22142.5183919271,16226.9639078776,2667.6328125,11162.2392985026,1107.54851023356,300.523307800293,384.313835144043,88.8757603963216,303.218494656662,NA,NA,NA,499.498983093194,270.641373836756,105.849242991122,NA,443.380625825316,219.672050791238,NA,NA,NA,411.444541403554,105.939734528799,270.877304206534,100.67197732507,314.550820050158,NA,441.996011056885,NA,629.601623535156,NA,NA,511.106465035724,NA,NA,194.710380847447,NA,NA,396.462863379765,NA,146.627548704241,NA,NA,2332.63354492188,1487.17370605469,NA,NA,228.219910841955,341.858962526596,25807.9217936198,29290.4403483073,35276.0273844401,408.123754150084,334.866020006403,103.602975442676,191.201611052143,NA,31.1213334527678,NA,NA,488.827254723239,119.797353108724,148.248545328776,295.989807128906,3255.02488708496,349.56645711263,215.417032877604,426.342620849609,684237.371663411,723060.755472819,822434.983174642,9627.7373046875,5439.8818359375,4631.18071492513,441298.777445475,410900.983642578,347718.116190592,3440.70586140951,3917.88380940755,2923.16105143229,1170.66170247396,885.277852376302,2049.29584757487,2257.40010579427,2341.48213195801,2421.11581420898,2069.43281555176,2100.53275553385,2035.70621744792,12279.636680603,5782.89936319987,9181.23907470703,7719.94303385417,4649.59464518229,4559.298828125,NA,98.7902984619141,376.428265889486
"P04259",NA,209.903999593824,NA,45.4003596832767,NA,202.536118158827,192.652313232422,NA,258.500578779872,NA,NA,NA,229.395314359009,NA,401.265600404919,NA,255.796010226009,37.1447393093116,NA,253.752020420949,NA,285.644181087742,NA,NA,326.224556266534,372.976478737689,409.051161129674,311.995939991506,517.835921544657,NA,42.1966707749162,95.7976468981499,346.057313805134,NA,340.223915355535,NA,NA,NA,321.538022608455,NA,1.98884862898423,NA,416.265091940799,318.200373944611,387.387712648359,NA,306.336822992693,NA,467.561095160591,NA,221.850671434027,359469.30456543,406828.730712891,463797.799723307,476.883076985677,355.868255615234,329.503255208333,9209.43766276042,10599.2871907552,8982.96919759115,398.261993408203,711.484130859375,667.025894165039,2610.5644938151,2976.05053710938,3287.59635925293,6085.72066752116,2975.41625467936,5544.74315897624,3261.23514302572,4879.0905456543,3810.99914550781,4127.6015625,504.10728417371,NA,NA,1061.66314697266,457.647186279297,592.6162109375,1362.05065917969,1571.26434326172,1597.95135498047,2972.18807983398,2176.09265136719,2255.54907226563,6055.14202880859,6207.47265625,5688.15191650391,4962.03491210938,6098.68994140625,550.34765625,149.746447550949,66.6962828629656,NA,3418.6064453125,3492.095703125,3300.70068359375,NA,267.333263397217,NA
"P81605",NA,170.040639546798,NA,128.023188758661,231.142180170412,123.432824030358,387.379714001534,NA,NA,NA,NA,330.521975017637,NA,NA,NA,NA,105.792258366037,163.364100142089,NA,NA,NA,403.453872650584,NA,449.858693351987,NA,86.3950938377799,463.050048964942,509.333968723556,81.918622719177,NA,142.126234592928,6.3202821125355,NA,NA,NA,NA,NA,4.24397930405293,196.073033012245,NA,259.375750266636,446.332900820316,NA,462.310811147353,431.909560319692,NA,103756.1328125,98452.2265625,NA,NA,1271.79085286458,36374.9790039063,39156.7255859375,39238.8347981771,415.350296224373,300.345923537124,91.923105875651,8893.07731119792,8169.43660481771,7945.92488606771,8766.74094645182,8100.63844807943,189.631510416667,465.419148763021,410.749145507813,489.497436523438,NA,432.094203667619,86.4902547200521,25.9469121104167,3086743.97070313,2840068.81340535,2955584.52217611,697.18027750651,2692.62292480469,2235.27108256022,602581.273712158,573701.596547445,594051.943349203,128678.783493042,155971.553899129,157332.989852905,88195.7213897705,79239.8204956055,78632.407236735,109521.025736491,112437.954681396,113386.490626017,48958.4382578532,47277.3305969238,44216.806233724,66.1233164469401,57642.0701217651,145938.941034953,191467.464808146,161250.962504069,159121.643559774,103.652231852214,2405.55829747518,1360.40473810832
"Q5EBL4",47241.2194010417,29656.5885416667,25873.4967651367,26539.8677775065,21895.4961954753,21779.5887858073,205.9407833104,317.489223480225,1013.81646219889,NA,420.1248681274,281.461252235287,NA,179.112896092305,NA,NA,4.87330655752606,115.312169853707,NA,NA,457.610414951207,NA,NA,498.277036482482,155.351884989605,NA,NA,NA,NA,NA,NA,NA,NA,475.108184814453,261.056518554688,619.171875,NA,NA,1482.24719238281,NA,NA,276.177930038318,NA,NA,27.626378511778,NA,454.095581054688,8221.8662109375,1097.11804199219,762.734985351563,780.614217122396,15233.5874023438,17369.5153808594,18057.490641276,107.739417962081,NA,82.1100718180339,3241.55334472656,1531.89530436198,1128.65604654948,NA,NA,NA,1926.37185668945,5264.87569681803,2514.03476969401,7199.14115397135,884.114934285482,250.018129984538,715.47987874349,NA,NA,172.740473491373,288.270399670034,NA,NA,NA,NA,278.520427997114,NA,113.064401719372,499.924909009492,NA,464.883891029101,417.053401059097,65.9882330027125,212.898149273732,314.804667408189,479.611253450096,193.253147355558,393.988364814157,NA,NA,435.763614456061,397.954365635055,NA,NA,NA,NA,220.040628161025
"Q9UP60",1202.96557617188,1047.37915039063,1098.57560221354,719.737467447917,377.130981445313,455.511108398438,229.284607088957,239.492447708933,213.317612831395,NA,102.425722062301,317.036849975586,404.841445922852,62.3544325370369,204.935662465331,NA,474.426051464965,324.718295042847,NA,462.49561194848,53.3427732054343,NA,NA,NA,NA,NA,NA,NA,310.856919540254,11.1139048847082,276.301557910799,436.881217036084,NA,NA,983.83203125,903.789001464844,2799.59497070313,2096.00366210938,257.917190343475,49.2689804797135,NA,NA,271.413269042969,NA,47.9187645762905,241.863877965754,NA,262.220931911675,213.346897311446,488.291368259603,149.526758829753,221061.807617188,241549.439941406,249543.063395182,141.130676269531,283.363525390625,749.979553222656,18810.552734375,18289.0371500651,17193.7672932943,380.646687825521,306.006754557292,366.660807291667,322.981122224785,203.937918320891,NA,996.174967447917,3830.07247670492,952.711395263672,1846.86049397786,61995.9832763672,71543.2921549479,58614.137898763,2870.4214070638,2654.3925374349,2346.54220581055,16012.2875366211,15332.4268290202,15132.5523071289,2738.88584391276,3088.11736043294,2786.38166300456,1825.70515950521,302.987172444661,1968.55912272135,17004.3487548828,15118.418182373,15397.1909281413,19173.595006307,20268.9078267415,16197.1554972331,NA,431.880106608073,638.494511922201,13253.1466674805,11434.3254191081,11543.1640421549,584.703735351563,1149.31449000041,1019.17378489176
"A0A024R8D7",69523.6668192546,42181.0028381348,56535.4712727865,396.138671875,282.58164469401,115.495175373677,85.4812927246094,40.7744320739098,60.0563049316406,36.2427393595378,259.736907958984,170.157032922732,489.134704589844,NA,84.758461121455,168.017117689695,NA,322.645338810782,174.883680234566,NA,NA,NA,76.3826965724693,400.82508737537,NA,NA,NA,NA,NA,NA,NA,NA,41.9440894568058,NA,NA,11.0971243188679,433.107015756646,233.96759629515,395.022887533286,323.200908739939,NA,66.6899204707751,NA,175.726969202947,298.884154279613,NA,NA,NA,394.764218428145,96.6196984432058,NA,24616.4197998047,28781.4404703776,23551.1248372396,152.732818603516,130.581268310547,129.945068359375,19264.732421875,20907.0635986328,22120.4232381185,243.680725097656,269.457010904948,256.120666503906,330.462086995443,254.54111735026,358.853973388672,324.731150309245,400.629638671875,1353.4820912679,513.468329738267,256882.829874674,231952.90999349,211352.157877604,98.462158203125,401.090657916943,499.240522150625,172618.05086263,131773.196370443,112283.454833984,5680.20927937825,5811.32507832845,5561.62360636393,284.77988688151,230.705688476563,175.179931640625,4942.7193959554,4878.37410481771,5200.33433024089,12753.8436024984,13098.3369750977,12778.6683451335,2516.06697845459,11337.6217244466,16771.4412053426,2768.63404337565,2715.07014973958,2595.5754292806,5212.7868347168,34.6288986206055,71.5081125895182
